"FECHA" "CODIGO" "LATITUD" "LONGITUD" "ELEVACION" "ESTACION" "MUNICIPIO" "DEPARTAMENTO" "DATO"
"52" "06/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -3.8
"53" "07/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -0.8
"54" "10/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -3.8
"55" "16/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -2.2
"56" "17/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -3.4
"57" "26/12/2018" 37015020 7.19 -72.87 3214 "BERLÍN" "TONA" "SANTANDER" -0.6
"58" "07/01/2018" 27015320 6.53 -75.83 2600 "ARAGÓN" "SANTA ROSA DE OSOS" "ANTIOQUIA" -1.4
"59" "08/01/2018" 27015320 6.53 -75.83 2600 "ARAGÓN" "SANTA ROSA DE OSOS" "ANTIOQUIA" 0
"60" "21/02/2018" 27015320 6.53 -75.83 2600 "ARAGÓN" "SANTA ROSA DE OSOS" "ANTIOQUIA" -1.6
"61" "14/01/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.8
"62" "23/02/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.6
"63" "06/04/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.1
"64" "30/06/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.1
"65" "16/07/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.1
"66" "22/07/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.4
"67" "09/08/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.1
"68" "11/08/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -1.2
"69" "18/08/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.2
"70" "27/08/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -1.6
"71" "11/09/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" 0
"72" "18/09/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" -0.1
"73" "12/10/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" 0
"74" "08/12/2018" 35095130 6.36 -72.28 4378 "LAGUNA DE LA PLAZA" "SARAVENA" "ARAUCA" 0
"75" "02/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -0.1
"76" "03/01/2018" 24035380 6.51 -72.31 4676 "NEVADO DEL COCUY " "GUICÁN" "BOYACÁ" -1
